ID,SystemCodeNumber,Capacity,Latitude,Longitude,Occupancy,VehicleType,TrafficConditionNearby,QueueLength,IsSpecialDay,LastUpdatedDate,LastUpdatedTime,Timestamp
0,BHMBCCMKT01,577,26.14453614,91.73617216,61,car,low,1,0,04-10-2016,07:59:00,2016-10-04 07:59:00
1,BHMBCCMKT01,577,26.14453614,91.73617216,64,car,low,1,0,04-10-2016,08:25:00,2016-10-04 08:25:00
2,BHMBCCMKT01,577,26.14453614,91.73617216,80,car,low,2,0,04-10-2016,08:59:00,2016-10-04 08:59:00
3,BHMBCCMKT01,577,26.14453614,91.73617216,107,car,low,2,0,04-10-2016,09:32:00,2016-10-04 09:32:00
4,BHMBCCMKT01,577,26.14453614,91.73617216,150,bike,low,2,0,04-10-2016,09:59:00,2016-10-04 09:59:00
5,BHMBCCMKT01,577,26.14453614,91.73617216,177,car,low,3,0,04-10-2016,10:26:00,2016-10-04 10:26:00
6,BHMBCCMKT01,577,26.14453614,91.73617216,219,truck,high,6,0,04-10-2016,10:59:00,2016-10-04 10:59:00
7,BHMBCCMKT01,577,26.14453614,91.73617216,247,car,average,5,0,04-10-2016,11:25:00,2016-10-04 11:25:00
8,BHMBCCMKT01,577,26.14453614,91.73617216,259,cycle,average,5,0,04-10-2016,11:59:00,2016-10-04 11:59:00
9,BHMBCCMKT01,577,26.14453614,91.73617216,266,bike,high,8,0,04-10-2016,12:29:00,2016-10-04 12:29:00
10,BHMBCCMKT01,577,26.14453614,91.73617216,269,car,high,7,0,04-10-2016,13:02:00,2016-10-04 13:02:00
11,BHMBCCMKT01,577,26.14453614,91.73617216,263,car,high,7,0,04-10-2016,13:29:00,2016-10-04 13:29:00
12,BHMBCCMKT01,577,26.14453614,91.73617216,238,car,high,5,0,04-10-2016,14:02:00,2016-10-04 14:02:00
13,BHMBCCMKT01,577,26.14453614,91.73617216,215,truck,average,3,0,04-10-2016,14:29:00,2016-10-04 14:29:00
14,BHMBCCMKT01,577,26.14453614,91.73617216,192,bike,average,3,0,04-10-2016,14:57:00,2016-10-04 14:57:00
15,BHMBCCMKT01,577,26.14453614,91.73617216,165,car,low,2,0,04-10-2016,15:30:00,2016-10-04 15:30:00
16,BHMBCCMKT01,577,26.14453614,91.73617216,162,bike,low,1,0,04-10-2016,16:04:00,2016-10-04 16:04:00
17,BHMBCCMKT01,577,26.14453614,91.73617216,143,car,average,2,0,04-10-2016,16:31:00,2016-10-04 16:31:00
18,BHMBCCMKT01,577,26.14453614,91.73617216,54,car,low,1,0,05-10-2016,07:57:00,2016-10-05 07:57:00
19,BHMBCCMKT01,577,26.14453614,91.73617216,59,car,average,1,0,05-10-2016,08:30:00,2016-10-05 08:30:00
20,BHMBCCMKT01,577,26.14453614,91.73617216,71,car,low,2,0,05-10-2016,09:04:00,2016-10-05 09:04:00
21,BHMBCCMKT01,577,26.14453614,91.73617216,83,car,average,2,0,05-10-2016,09:30:00,2016-10-05 09:30:00
22,BHMBCCMKT01,577,26.14453614,91.73617216,114,car,low,3,0,05-10-2016,10:04:00,2016-10-05 10:04:00
23,BHMBCCMKT01,577,26.14453614,91.73617216,128,truck,high,4,0,05-10-2016,10:30:00,2016-10-05 10:30:00
24,BHMBCCMKT01,577,26.14453614,91.73617216,148,bike,average,4,0,05-10-2016,11:04:00,2016-10-05 11:04:00
25,BHMBCCMKT01,577,26.14453614,91.73617216,162,car,average,4,0,05-10-2016,11:30:00,2016-10-05 11:30:00
26,BHMBCCMKT01,577,26.14453614,91.73617216,178,car,high,6,0,05-10-2016,12:04:00,2016-10-05 12:04:00
27,BHMBCCMKT01,577,26.14453614,91.73617216,183,car,high,7,0,05-10-2016,12:30:00,2016-10-05 12:30:00
